type,uuid,fullName,pureName,author,fullTitleCache,RANK,taxon,treeIndex
Taxon,c6622465-f383-4bbf-9d1b-afbbf9923942,Weberbauerocereus Backeb.,Weberbauerocereus,Backeb.,"Weberbauerocereus Backeb. in Cactaceae (Berlin) 1941(2): 31, 75. 1942",Genus,Weberbauerocereus Backeb. sec. Arakaki 2003,#t42#33819#33820#33837#33839#1001#
Taxon,c54a17ae-be4e-4f75-9188-7115c7513719,Weberocereus Britton & Rose,Weberocereus,Britton & Rose,Weberocereus Britton & Rose in Contr. U.S. Natl. Herb. 12: 431. 1909,Genus,Weberocereus Britton & Rose sec. Korotkova & al. 2017,#t42#33819#33820#33837#33839#460#
Taxon,46cd107a-4c2d-4e30-a0c5-75a6f7335157,Weingartia Werderm.,Weingartia,Werderm.,"Weingartia Werderm. in Kakteenkunde 1937: 20, 21. 1937",Genus,Weingartia Werderm. sec. Kiesling & al. 2014,#t42#33819#33820#33837#33839#2531#
Taxon,c7927cd4-3cf7-40da-bae1-22cb33c5f87e,"Xiquexique Lavor, Calvente & Versieux",Xiquexique,"Lavor, Calvente & Versieux","Xiquexique Lavor, Calvente & Versieux in PlantNow 1(2): 63. 2020",Genus,"Xiquexique Lavor, Calvente & Versieux sec. Lavor & al. 2020",#t42#33819#33820#33837#33839#28447#
Taxon,f29f29ce-7037-487f-9373-446132b293fa,Yavia R.Kiesling & Piltz,Yavia,R.Kiesling & Piltz,Yavia R.Kiesling & Piltz in Kakteen And. Sukk. 52(3): 57. 2001,Genus,Yavia R.Kiesling & Piltz sec. Guerrero & al. 2020,#t42#33819#33820#33837#33839#1721#
Taxon,d32e72f7-7a12-4cb7-b6c8-9117e0c31432,×Acanthinopsis P.V.Heath,×Acanthinopsis,P.V.Heath,×Acanthinopsis P.V.Heath in Calyx 1: 94. 1992,Genus,×Acanthinopsis P.V.Heath sec. Kew 2019,#t42#33819#33820#33837#11495#26867#
Taxon,57b429cf-a051-4003-8734-b1034c28c86e,×Acanthosalpingolobivia Y.Itô,×Acanthosalpingolobivia,Y.Itô,"×Acanthosalpingolobivia Y.Itô, Hana Shaboten Zufu: 71. 1967",Genus,×Acanthosalpingolobivia Y.Itô sec. ???,#t42#33819#33820#33837#23243#28093#
Taxon,fff73bf1-9b06-4a2d-afc7-c3a36e09f86d,×Aporberocereus G.D.Rowley,×Aporberocereus,G.D.Rowley,×Aporberocereus G.D.Rowley in Natl. Cact. Succ. J. 37: 46. 1982,Genus,×Aporberocereus G.D.Rowley sec. TPL 2013,#t42#33819#33820#33837#23243#26997#
Taxon,c2afffe2-6791-46b1-9266-8f711a69318e,×Aporechinopsis G.D.Rowley,×Aporechinopsis,G.D.Rowley,"×Aporechinopsis G.D.Rowley, Name that Succulent: 113. 1980",Genus,×Aporechinopsis G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#27860#
Taxon,589a5bb5-7a1f-4d8a-a506-b889c24636c5,×Aporepiphyllum G.D.Rowley,×Aporepiphyllum,G.D.Rowley,"×Aporepiphyllum G.D.Rowley, Name that Succulent: 114. 1980, nom. illeg.",Genus,"×Aporepiphyllum G.D.Rowley, nom. illeg., sec. ???",#t42#33819#33820#33837#23243#22038#
Taxon,3b08a973-e2ce-4659-b38e-d0116f659bdd,×Aporgera M.H.J.van der Meer,×Aporgera,M.H.J.van der Meer,×Aporgera M.H.J.van der Meer in Cact. Phantast. 2018(1): 2. 2018,Genus,×Aporgera M.H.J.van der Meer sec. van der Meer 2018,#t42#33819#33820#33837#23243#40646#
Taxon,8b305dde-d2b0-439e-9c8f-8ffc470896e9,×Aporicereus Mottram,×Aporicereus,Mottram,"×Aporicereus Mottram in Cactician 4: 20. 2016 [""2014""]",Genus,×Aporicereus Mottram sec. ???,#t42#33819#33820#33837#23243#27861#
Taxon,961f66c5-6b48-4604-89cc-4bdd2a2ce9fc,×Aporochia G.D.Rowley,×Aporochia,G.D.Rowley,×Aporochia G.D.Rowley in Epiphytes 4(13): 12. 1972,Genus,×Aporochia G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#28092#
Taxon,2aee51d1-4a56-42b9-ba94-50ed738b0580,×Aporocryptocereus Xhonneux,×Aporocryptocereus,Xhonneux,×Aporocryptocereus Xhonneux in Cact. Avent. 45: 24. 2000,Genus,×Aporocryptocereus Xhonneux sec. ???,#t42#33819#33820#33837#23243#27862#
Taxon,cae0c73e-630c-47b8-be55-ed6f472583fb,×Aporodisocactus C.Knebel,×Aporodisocactus,C.Knebel,×Aporodisocactus C.Knebel in Phyllocactus: 18. 1949,Genus,×Aporodisocactus C.Knebel sec. Korotkova & al. 2021,#t42#33819#33820#33837#23243#40647#
Taxon,0871496c-e882-4cfd-9e20-5f3b3260c6c1,×Aporoheliocereus Airy Shaw,×Aporoheliocereus,Airy Shaw,"×Aporoheliocereus Airy Shaw in Willis, Dict. Flow. Pl. Ferns, ed. 7: 80. 1966",Genus,×Aporoheliocereus Airy Shaw sec. ???,#t42#33819#33820#33837#23243#22021#
Taxon,a4daa886-77bd-42eb-bca7-973dfebef217,×Aporoheliochia P.V.Heath,×Aporoheliochia,P.V.Heath,×Aporoheliochia P.V.Heath in Epiphytes 8(30): 40. 1984,Genus,×Aporoheliochia P.V.Heath sec. ???,#t42#33819#33820#33837#23243#27864#
Taxon,18348535-bfa4-4f08-a3ff-d04b5914af41,×Aporophyllum D.R.Hunt,×Aporophyllum,D.R.Hunt,"×Aporophyllum D.R.Hunt in Willis, Dict. fl. pl., ed. 7: 80. 1966",Genus,×Aporophyllum D.R.Hunt sec. ???,#t42#33819#33820#33837#23243#21993#
Taxon,daa32c23-0efc-40c3-a84f-7cc0db8eed42,×Ariocereus P.V.Heath,×Ariocereus,P.V.Heath,×Ariocereus P.V.Heath in Calyx 1(3): 98. 1992,Genus,×Ariocereus P.V.Heath sec. ???,#t42#33819#33820#33837#23243#28091#
Taxon,02496fd0-68a6-4a72-af21-5ced642365b4,×Arioechinopsis Mottram,×Arioechinopsis,Mottram,"×Arioechinopsis Mottram in Cactician 4: 24. 2016 [""2014""]",Genus,×Arioechinopsis Mottram sec. ???,#t42#33819#33820#33837#23243#27853#
Taxon,4e75be36-1cdc-4b8f-833e-a241c190d0a8,×Arthrocleistocactus Mordhorst,×Arthrocleistocactus,Mordhorst,×Arthrocleistocactus Mordhorst in Kakteen And. Sukk. 71(6): 180. 2020,Genus,×Arthrocleistocactus Mordhorst sec. ???,#t42#33819#33820#33837#23243#28658#
Taxon,53adde99-1806-4765-97de-4783dd195660,×Arthronopsis P.Modrakoswski,×Arthronopsis,P.Modrakoswski,×Arthronopsis P.Modrakoswski in Kaktusy Inne 12(2): 73. 2020,Genus,×Arthronopsis P.Modrakoswski sec. ???,#t42#33819#33820#33837#23243#33269#
Taxon,93c22807-ec22-400e-926a-6f6414f33fef,×Astrobergia Piñal,×Astrobergia,Piñal,×Astrobergia Piñal in Revista Circulo Colecc. Cact. Crasas Republ. Argent. 9: 25. 2010,Genus,×Astrobergia Piñal sec. ???,#t42#33819#33820#33837#23243#27865#
Taxon,52537a92-c6f1-4a4d-860e-fcaad1c50114,×Astroferocactus Liczn.,×Astroferocactus,Liczn.,×Astroferocactus Liczn. in Kaktusy Inne 6(3): 101. 2009,Genus,×Astroferocactus Liczn. sec. ???,#t42#33819#33820#33837#23243#28090#
Taxon,c6528ee4-e331-4c43-9450-aca8368cb001,×Austrocereus Mottram,×Austrocereus,Mottram,"×Austrocereus Mottram in Cactician 4: 30. 2016 [""2014""]",Genus,×Austrocereus Mottram sec. ???,#t42#33819#33820#33837#23243#27866#
Taxon,a41549bb-6a73-43c6-acb0-7711ce9d9e25,×Aztekonia Mottram,×Aztekonia,Mottram,×Aztekonia Mottram in Cactician 5: 15. 2014,Genus,×Aztekonia Mottram sec. ???,#t42#33819#33820#33837#23243#27867#
Taxon,3882ff7f-79fc-4c7d-847e-50b8e9ff8a7f,×Beahmara P.V.Heath,×Beahmara,P.V.Heath,×Beahmara P.V.Heath in Calyx 1: 68. 1992,Genus,×Beahmara P.V.Heath sec. ???,#t42#33819#33820#33837#23243#27868#
Taxon,08c66a05-f891-4702-9f02-e9df3ed0f04c,×Borageocereus M.H.J.van der Meer,×Borageocereus,M.H.J.van der Meer,×Borageocereus M.H.J.van der Meer in Cact. Phantast. 2019(4)-1: 1. 2019,Genus,×Borageocereus M.H.J.van der Meer sec. van der Meer 2019,#t42#33819#33820#33837#23243#40677#
Taxon,c913b12f-1f80-47dc-8002-e42b2a691f09,"×Borkersia Halda, Malina & Panar.",×Borkersia,"Halda, Malina & Panar.","×Borkersia Halda, Malina & Panar. in Acta Mus. Richnov., Sect. Nat., 10(2): 150. 2003",Genus,"×Borkersia Halda, Malina & Panar. sec. ???",#t42#33819#33820#33837#23243#21994#
Taxon,d08c85d3-883a-48cf-b5b2-e1b8695a0eb4,×Borzicana M.H.J.van der Meer,×Borzicana,M.H.J.van der Meer,×Borzicana M.H.J.van der Meer in Cact. Phantast. 2019(3)-3: 26. 2019,Genus,×Borzicana M.H.J.van der Meer sec. van der Meer 2019,#t42#33819#33820#33837#23243#40667#
Taxon,932ce467-fb5a-43b6-92ec-a8f31a499ae8,×Borzichocereus M.H.J.van der Meer,×Borzichocereus,M.H.J.van der Meer,×Borzichocereus M.H.J.van der Meer in Cact. Phantast. 2019(4)-1: 1. 2019,Genus,×Borzichocereus M.H.J.van der Meer sec. van der Meer 2019,#t42#33819#33820#33837#23243#40678#
Taxon,eedaf0e3-0d50-4a2e-aef8-03f04b00789d,×Borzimoza G.D.Rowley,×Borzimoza,G.D.Rowley,"×Borzimoza G.D.Rowley, Name that Succulent: 116. 1980",Genus,×Borzimoza G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#27869#
Taxon,c05d8aaf-d2b3-4179-9290-d6a381f1dbd6,×Borzinopsis G.D.Rowley,×Borzinopsis,G.D.Rowley,×Borzinopsis G.D.Rowley in Natl. Cact. Succ. J. 37: 47. 1982,Genus,×Borzinopsis G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#27870#
Taxon,2a1e2890-2511-409c-916c-ffd28f5b03bd,×Borzipostoa G.D.Rowley,×Borzipostoa,G.D.Rowley,×Borzipostoa G.D.Rowley in Natl. Cact. Succ. J. 37(2): 47. 1982,Genus,×Borzipostoa G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#22022#
Taxon,a647f891-376d-45cd-925c-6ef6be973f07,×Borziroya G.D.Rowley,×Borziroya,G.D.Rowley,×Borziroya G.D.Rowley in Natl. Cact. Succ. J. 37: 47. 1982,Genus,×Borziroya G.D.Rowley sec. ???,#t42#33819#33820#33837#23243#27871#
Taxon,d65655c5-be88-4c3c-a661-fb92681b53a7,×Borzivia M.H.J.van der Meer,×Borzivia,M.H.J.van der Meer,×Borzivia M.H.J.van der Meer in Cact. Phantast. 2019(3)-3: 26. 2019,Genus,×Borzivia M.H.J.van der Meer sec. van der Meer 2019,#t42#33819#33820#33837#23243#40668#
